Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Paucimonas,uncultured bacterium
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured,uncultured delta proteobacterium
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured bacterium
Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter, Ambiguous_taxa
Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,uncultured bacterium,uncultured bacterium
Bacteria,Acidobacteria,Subgroup 2,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,uncultured bacterium,uncultured bacterium
Bacteria,Verrucomicrobia,OPB35 soil group,Unknown Order,Unknown Family,Pedosphaera,uncultured bacterium
Bacteria,Verrucomicrobia,OPB35 soil group,Unknown Order,Unknown Family,Pedosphaera,NA
Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Planctomycetes,OM190,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,H16, Ambiguous_taxa
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,uncultured bacterium
Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,uncultured,NA
Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,NA,NA
Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,NA,NA
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,uncultured,uncultured bacterium
Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,HSB OF53-F07,NA,NA
Bacteria,Parcubacteria,Candidatus Magasanikbacteria,NA,NA,NA,NA
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae (Subgroup 4),RB41, Ambiguous_taxa
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured, Ambiguous_taxa
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Phaselicystidaceae,Phaselicystis, Ambiguous_taxa
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,NA
Bacteria,Acidobacteria,Holophagae,Subgroup 10,ABS-19,NA,NA
Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium
Bacteria,Chloroflexi,SBR2076,NA,NA,NA,NA
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium, Ambiguous_taxa
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,uncultured bacterium
Bacteria,Proteobacteria,Betaproteobacteria,TRA3-20,NA,NA,NA
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured,NA
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,NA
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales Incertae Sedis,Candidatus Alysiosphaera,uncultured bacterium
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae (Subgroup 4),RB41, Ambiguous_taxa
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured, Ambiguous_taxa
Bacteria,Verrucomicrobia,OPB35 soil group,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
Bacteria,Acidobacteria,Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
